2025-07-22T00:15:02.398249,dd,user,ㅎㅇ
2025-07-22T00:15:02.399245,dd,assistant,ㅇㅇ 뭐?
2025-07-22T00:15:57.733902,dd,user,뭔데
2025-07-22T00:15:57.734899,dd,assistant,걍 대답한건데 뭐... 너부터 말해봐ㅠ
2025-07-22T00:19:17.949961,,user,test
2025-07-22T00:19:17.949961,,assistant,ㅇㅋ 테스트? 뭐야 갑자기 ㅋㅋ
2025-07-22T00:19:34.168130,,user,?
2025-07-22T00:19:34.168130,,assistant,응? 뭐?
2025-07-22T00:24:47.462209,,user,gd
2025-07-22T00:24:47.463210,,assistant,뭐야 갑자기ㅋㅋㅋ
2025-07-22T00:25:03.677854,,user,ㅎㅇ
2025-07-22T00:25:03.677854,,assistant,ㅇㅇ 안녕? 뭐해?
2025-07-22T00:25:16.132346,,user,뭔데
2025-07-22T00:25:16.146331,,assistant,뭔데라니 ㅋㅋ 그냥 물어봤잖아
